genotipo	sitio	anio	HM	EX	PM	NS	IK	FR	VIS	PD	BG	ATL	amb
Ambev48	EEMAC	2007	4.8	81.5	13.1	1050	51	71	1.53	394	300	NA	EEMAC _ 2007
Ana	EEMAC	2007	4.8	78.8	14.2	1060	48	67	1.53	453	311	NA	EEMAC _ 2007
Atlas57	EEMAC	2007	4.2	75.4	11.2	568	32	41	1.55	203	584	NA	EEMAC _ 2007
Aurore	EEMAC	2007	5.2	76.7	15.3	795	33	47	1.59	512	563	NA	EEMAC _ 2007
Barones	EEMAC	2007	4.7	79.3	12.5	978	49	71	1.51	460	160	NA	EEMAC _ 2007
BCD47	EEMAC	2007	5	79.7	13.4	937	44	54	1.54	480	337	NA	EEMAC _ 2007
Beka	EEMAC	2007	3.7	79.6	10.9	692	40	65	1.5	348	353	NA	EEMAC _ 2007
Berolin	EEMAC	2007	4.5	79.1	12.5	678	34	51	1.59	329	864	NA	EEMAC _ 2007
Bido	EEMAC	2007	4.8	78.2	12.1	734	38	64	1.56	373	514	NA	EEMAC _ 2007
Bonita	EEMAC	2007	4.5	75.7	14.6	700	30	30	1.58	466	649	NA	EEMAC _ 2007
Bowman	EEMAC	2007	4.6	79.5	13.7	683	31	49	1.59	369	865	NA	EEMAC _ 2007
Br2	EEMAC	2007	4.7	79	14.1	876	39	52	1.56	405	285	NA	EEMAC _ 2007
C8730	EEMAC	2007	5	78.8	13.9	846	39	53	1.56	390	542	NA	EEMAC _ 2007
C8806	EEMAC	2007	5	78.7	15	856	36	46	1.56	398	386	NA	EEMAC _ 2007
C8828	EEMAC	2007	4.8	80.1	11.9	907	49	75	1.51	400	342	NA	EEMAC _ 2007
C9035	EEMAC	2007	4.5	78.4	13.1	627	30	42	1.57	380	770	NA	EEMAC _ 2007
C9038	EEMAC	2007	4.7	76.8	14.1	645	29	27	1.53	395	732	NA	EEMAC _ 2007
C9046	EEMAC	2007	4.9	80	11.7	774	42	60	1.58	218	427	NA	EEMAC _ 2007
C9053	EEMAC	2007	4.9	79.6	14.3	968	43	59	1.56	326	401	NA	EEMAC _ 2007
C9172	EEMAC	2007	4.9	79.3	13.5	927	44	59	1.58	426	458	NA	EEMAC _ 2007
C9173	EEMAC	2007	4.3	78.4	13.3	695	33	36	1.59	336	786	NA	EEMAC _ 2007
C9315	EEMAC	2007	4.3	77.2	12.5	578	29	25	1.66	400	858	NA	EEMAC _ 2007
C9528	EEMAC	2007	4.9	80.1	12.4	642	33	62	1.58	269	508	NA	EEMAC _ 2007
C9616	EEMAC	2007	4.8	78.2	13.1	856	42	57	1.54	408	422	NA	EEMAC _ 2007
Carumbe	EEMAC	2007	4.4	79.2	12.4	723	36	61	1.53	458	474	NA	EEMAC _ 2007
Cheri	EEMAC	2007	4.9	80.7	13.2	866	42	71	1.54	441	339	NA	EEMAC _ 2007
CLE176	EEMAC	2007	5	78.7	12.5	795	40	58	1.55	322	505	NA	EEMAC _ 2007
CLE178	EEMAC	2007	5	81.8	13.7	958	45	61	1.53	437	394	NA	EEMAC _ 2007
CLE202	EEMAC	2007	4.5	78.6	13.1	740	35	67	1.5	397	281	NA	EEMAC _ 2007
CLE203	EEMAC	2007	4.9	81	14.2	1151	52	77	1.48	417	98	NA	EEMAC _ 2007
CLE226	EEMAC	2007	5.7	81.3	16.2	988	39	60	1.54	376	314	NA	EEMAC _ 2007
CLE232	EEMAC	2007	5	80.5	12.5	856	44	68	1.56	408	377	NA	EEMAC _ 2007
CLE233	EEMAC	2007	5.9	81.4	12.1	866	46	72	1.52	376	290	NA	EEMAC _ 2007
Clipper	EEMAC	2007	4.7	79.7	13.5	1029	48	65	1.58	330	323	NA	EEMAC _ 2007
Clivia	EEMAC	2007	4.5	77.6	13.2	672	32	47	1.52	333	569	NA	EEMAC _ 2007
Danuta	EEMAC	2007	4.8	80.6	12.1	887	47	76	1.5	269	240	NA	EEMAC _ 2007
Dayman	EEMAC	2007	4.5	80.4	12.5	793	40	63	1.53	440	533	NA	EEMAC _ 2007
Defra	EEMAC	2007	4	78.2	13.1	695	33	52	1.52	413	484	NA	EEMAC _ 2007
Diamant	EEMAC	2007	4	79.6	10.7	601	35	68	1.54	292	455	NA	EEMAC _ 2007
FNC1	EEMAC	2007	4.1	77.5	13	666	32	42	1.59	349	669	NA	EEMAC _ 2007
FNC61	EEMAC	2007	4.9	78.7	14.7	1060	46	63	1.51	485	250	NA	EEMAC _ 2007
FNCI22	EEMAC	2007	4.3	78.2	13.1	735	35	54	1.51	339	584	NA	EEMAC _ 2007
Gull	EEMAC	2007	5.3	78.3	15	846	36	36	1.73	183	568	NA	EEMAC _ 2007
Haisa	EEMAC	2007	4.5	77.9	13.5	658	30	42	1.59	383	847	NA	EEMAC _ 2007
Hanna	EEMAC	2007	5.1	77.6	15.9	1223	49	55	1.53	514	189	NA	EEMAC _ 2007
Harring	EEMAC	2007	4.2	79.3	12.6	932	46	67	1.5	468	149	NA	EEMAC _ 2007
Isaria	EEMAC	2007	4.9	78.7	13.9	887	41	53	1.65	294	605	NA	EEMAC _ 2007
Karl	EEMAC	2007	4	83	9.5	742	49	74	1.56	388	403	NA	EEMAC _ 2007
Kenia	EEMAC	2007	4.9	78.1	13.7	785	36	48	1.67	229	573	NA	EEMAC _ 2007
Lisa	EEMAC	2007	4.9	77.9	14.6	917	40	62	1.52	400	337	NA	EEMAC _ 2007
Logan	EEMAC	2007	4.8	82.4	12.4	1070	55	77	1.52	509	224	NA	EEMAC _ 2007
Magn102	EEMAC	2007	4.3	76.2	14.1	661	29	32	1.58	343	731	NA	EEMAC _ 2007
Magn104	EEMAC	2007	4.3	76.2	13.9	689	31	31	1.52	343	527	NA	EEMAC _ 2007
MaltHed	EEMAC	2007	4.1	77	14.1	844	38	45	1.53	456	363	NA	EEMAC _ 2007
MN599	EEMAC	2007	4.9	80.6	12.5	948	48	69	1.52	357	312	NA	EEMAC _ 2007
Mn610	EEMAC	2007	4.9	80	14.1	1050	47	69	1.52	355	199	NA	EEMAC _ 2007
ND10277	EEMAC	2007	4.9	81.6	14.3	1151	51	58	1.52	369	326	NA	EEMAC _ 2007
Perun	EEMAC	2007	4	78.2	13.1	683	33	48	1.54	399	629	NA	EEMAC _ 2007
Pirolin	EEMAC	2007	4.3	75.5	13.9	717	32	48	1.52	457	565	NA	EEMAC _ 2007
PlArcher	EEMAC	2007	4.8	75	16.9	1121	42	51	1.48	485	346	NA	EEMAC _ 2007
Prior	EEMAC	2007	4.8	78.1	12.5	836	42	49	1.61	290	482	NA	EEMAC _ 2007
QAyelen	EEMAC	2007	4.3	78.9	12.4	729	37	54	1.54	322	636	NA	EEMAC _ 2007
QPampa	EEMAC	2007	4.5	77.8	13.4	836	39	55	1.52	365	438	NA	EEMAC _ 2007
Quebrac	EEMAC	2007	4.7	78.8	13.3	652	31	32	1.56	355	742	NA	EEMAC _ 2007
Scarlet	EEMAC	2007	4.8	81	12	917	48	66	1.56	398	331	NA	EEMAC _ 2007
Stirlin	EEMAC	2007	4.9	79.2	13.6	937	44	57	1.53	451	443	NA	EEMAC _ 2007
Trumpf	EEMAC	2007	4.8	79.5	14.1	856	39	58	1.55	373	367	NA	EEMAC _ 2007
Union	EEMAC	2007	5	77.9	15.2	856	36	48	1.65	433	555	NA	EEMAC _ 2007
Villa	EEMAC	2007	4.8	77.8	14.7	927	40	56	1.56	233	359	NA	EEMAC _ 2007
Volla	EEMAC	2007	4.3	77	13.7	695	32	41	1.52	325	498	NA	EEMAC _ 2007
WMR1	EEMAC	2007	4.2	75.6	14.1	725	32	37	1.56	478	641	NA	EEMAC _ 2007
Ymer	EEMAC	2007	5.1	77.6	13.3	795	38	41	1.67	401	604	NA	EEMAC _ 2007
Ambev48	EEMAC	2008a	5.5	80.5	10.8	765	44	67	1.62	337	480	NA	EEMAC _ 2008a
Ana	EEMAC	2008a	5.4	76.3	12.8	809	39	55	1.6	340	460	NA	EEMAC _ 2008a
Atlas57	EEMAC	2008a	5.8	74.8	10.8	586	34	22	1.59	316	467	NA	EEMAC _ 2008a
Aurore	EEMAC	2008a	5.4	78	11.7	660	35	55	1.68	423	612	NA	EEMAC _ 2008a
Barones	EEMAC	2008a	5.6	79.1	12.8	722	35	34	1.64	355	649	NA	EEMAC _ 2008a
BCD47	EEMAC	2008a	5.4	77.9	11.7	872	47	49	1.61	452	375	NA	EEMAC _ 2008a
Beka	EEMAC	2008a	5.4	83.2	9.9	746	47	82	1.51	390	254	NA	EEMAC _ 2008a
Berolin	EEMAC	2008a	5.2	80.3	11.6	741	40	63	1.59	382	365	NA	EEMAC _ 2008a
Bido	EEMAC	2008a	5.4	78.2	13.6	815	37	50	1.65	452	610	NA	EEMAC _ 2008a
Bonita	EEMAC	2008a	5.9	76.2	13.5	689	32	35	1.61	483	611	NA	EEMAC _ 2008a
Bowman	EEMAC	2008a	5.5	81	10.8	730	42	75	1.62	405	410	NA	EEMAC _ 2008a
Br2	EEMAC	2008a	5.4	80	10.8	667	39	62	1.59	383	404	NA	EEMAC _ 2008a
C8730	EEMAC	2008a	5.4	79.4	11	676	38	48	1.69	383	489	NA	EEMAC _ 2008a
C8806	EEMAC	2008a	5.8	79.1	11.4	742	41	58	1.61	352	401	NA	EEMAC _ 2008a
C8828	EEMAC	2008a	5	78.4	11	711	40	57	1.65	414	561	NA	EEMAC _ 2008a
C9035	EEMAC	2008a	5.6	77.2	12	690	36	70	1.53	431	334	NA	EEMAC _ 2008a
C9038	EEMAC	2008a	5.6	79.4	10.7	620	36	64	1.62	399	467	NA	EEMAC _ 2008a
C9046	EEMAC	2008a	5.4	77.7	11.8	701	37	54	1.62	311	500	NA	EEMAC _ 2008a
C9053	EEMAC	2008a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EEMAC _ 2008a
C9172	EEMAC	2008a	5.4	81	10.5	667	40	66	1.68	361	422	NA	EEMAC _ 2008a
C9173	EEMAC	2008a	5.4	80	10.2	638	39	72	1.72	307	533	NA	EEMAC _ 2008a
C9315	EEMAC	2008a	5.6	78.4	10.1	553	34	46	1.79	409	762	NA	EEMAC _ 2008a
C9528	EEMAC	2008a	5.2	79.5	10.9	760	44	53	1.69	469	749	NA	EEMAC _ 2008a
C9616	EEMAC	2008a	6	76.3	11.2	511	29	31	1.85	302	1034	NA	EEMAC _ 2008a
Carumbe	EEMAC	2008a	5.4	80.2	10.8	776	45	81	1.5	470	164	NA	EEMAC _ 2008a
Cheri	EEMAC	2008a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EEMAC _ 2008a
CLE176	EEMAC	2008a	5.2	79.3	11.2	709	39	61	1.67	386	572	NA	EEMAC _ 2008a
CLE178	EEMAC	2008a	5.4	80.5	12.1	866	45	72	1.58	470	284	NA	EEMAC _ 2008a
CLE202	EEMAC	2008a	5.7	80.2	9.9	694	44	83	1.59	333	111	NA	EEMAC _ 2008a
CLE203	EEMAC	2008a	5.3	78.1	12.4	774	39	72	1.49	311	188	NA	EEMAC _ 2008a
CLE226	EEMAC	2008a	5.6	78.9	12.9	805	39	49	1.51	243	262	NA	EEMAC _ 2008a
CLE232	EEMAC	2008a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EEMAC _ 2008a
CLE233	EEMAC	2008a	5.4	79.7	10.7	679	40	72	1.55	336	355	NA	EEMAC _ 2008a
Clipper	EEMAC	2008a	5.7	79	12.3	825	42	48	1.6	257	401	NA	EEMAC _ 2008a
Clivia	EEMAC	2008a	5.3	80.8	11.3	751	42	66	1.52	336	228	NA	EEMAC _ 2008a
Danuta	EEMAC	2008a	5.5	80.5	11.1	743	42	60	1.58	181	629	NA	EEMAC _ 2008a
Dayman	EEMAC	2008a	5.1	79.9	12.1	883	46	69	1.67	422	485	NA	EEMAC _ 2008a
Defra	EEMAC	2008a	5	81.1	10.7	736	43	72	1.6	342	440	NA	EEMAC _ 2008a
Diamant	EEMAC	2008a	5.2	81.7	10.4	830	50	83	1.55	325	164	NA	EEMAC _ 2008a
FNC1	EEMAC	2008a	5.3	77.9	12.5	713	36	48	1.8	339	702	NA	EEMAC _ 2008a
FNC61	EEMAC	2008a	5.6	79.1	11.5	753	41	52	1.55	355	404	NA	EEMAC _ 2008a
FNCI22	EEMAC	2008a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EEMAC _ 2008a
Gull	EEMAC	2008a	5.8	79.1	13.8	723	33	36	1.91	312	930	NA	EEMAC _ 2008a
