id	cod_1	ID	IND
1	Mo1-001.GType	1	IND1
3	Mo1-003.GType	3	IND3
5	NA	5	IND5
7	Mo1-007.GType	7	IND7
8	Mo1-008.GType	8	IND8
9	Mo1-009.GType	9	IND9
10	Mo1-010.GType	10	IND10
11	Mo1-011.GType	11	IND11
12	Mo1-012.GType	12	IND12
14	Mo1-014.GType	14	IND14
15	Mo1-015.GType	15	IND15
16	NA	16	IND16
17	Mo1-017.GType	17	IND17
18	Mo1-018.GType	18	IND18
19	Mo1-019.GType	19	IND19
21	Mo1-021.GType	21	IND21
22	Mo1-022.GType	22	IND22
23	Mo1-023.GType	23	IND23
24	Mo1-024.GType	24	IND24
25	Mo1-025.GType	25	IND25
26	Mo1-026.GType	26	IND26
27	Mo1-027.GType	27	IND27
28	Mo1-028.GType	28	IND28
29	Mo1-029.GType	29	IND29
30	NA	30	IND30
31	Mo1-031.GType	31	IND31
32	Mo1-032.GType	32	IND32
33	Mo1-033.GType	33	IND33
34	Mo1-034.GType	34	IND34
36	Mo1-036.GType	36	IND36
37	Mo1-037.GType	37	IND37
38	Mo1-038.GType	38	IND38
40	NA	40	IND40
41	Mo1-041.GType	41	IND41
42	Mo1-042.GType	42	IND42
43	Mo1-043.GType	43	IND43
44	Mo1-044.GType	44	IND44
47	NA	47	IND47
48	Mo1-048.GType	48	IND48
49	Mo1-049.GType	49	IND49
50	Mo1-050.GType	50	IND50
52	Mo1-052.GType	52	IND52
53	Mo1-053.GType	53	IND53
54	Mo1-054.GType	54	IND54
55	Mo1-055.GType	55	IND55
57	Mo1-057.GType	57	IND57
59	Mo1-059.GType	59	IND59
60	Mo1-060.GType	60	IND60
61	Mo1-061.GType	61	IND61
62	Mo1-062.GType	62	IND62
63	Mo1-063.GType	63	IND63
64	Mo1-064.GType	64	IND64
65	Mo1-065.GType	65	IND65
66	Mo1-066.GType	66	IND66
67	Mo1-067.GType	67	IND67
68	Mo1-068.GType	68	IND68
69	Mo1-069.GType	69	IND69
70	Mo1-070.GType	70	IND70
71	Mo1-071.GType	71	IND71
72	Mo1-072.GType	72	IND72
73	Mo1-073.GType	73	IND73
74	Mo1-074.GType	74	IND74
75	Mo1-075.GType	75	IND75
76	Mo1-076.GType	76	IND76
77	Mo1-077.GType	77	IND77
79	Mo1-079.GType	79	IND79
80	Mo1-080.GType	80	IND80
81	Mo1-081.GType	81	IND81
82	Mo1-082.GType	82	IND82
84	Mo1-084.GType	84	IND84
85	Mo1-085.GType	85	IND85
86	NA	86	IND86
87	Mo1-087.GType	87	IND87
88	Mo1-088.GType	88	IND88
89	Mo1-089.GType	89	IND89
91	NA	91	IND91
92	Mo1-092.GType	92	IND92
93	Mo1-093.GType	93	IND93
94	Mo1-094.GType	94	IND94
95	Mo1-095.GType	95	IND95
96	Mo1-096.GType	96	IND96
97	Mo1-097.GType	97	IND97
98	Mo1-098.GType	98	IND98
99	Mo1-099.GType	99	IND99
101	Mo1-101.GType	101	IND101
102	Mo1-102.GType	102	IND102
108	Mo1-108.GType	108	IND108
27*	NA	27*	IND27*
54*	NA	54*	IND54*
80*	NA	80*	IND80*
NA	NA	CA	INDNA
NA	NA	CA*	INDNA
NA	NA	CE	INDNA
NA	NA	CE*	INDNA
