genotypes	sitio	EX	NS	BG	PT
Inno1_2	EEMAC	80.68791954	537.7525662	459.5609126	10.00335852
Inno1_9	EEMAC	80.21333024	499.9180555	703.7531836	9.950600508
Inno1_25	EEMAC	80.68791954	554.7128641	437.108738	9.628145026
Inno1_44	EEMAC	78.9912301	468.6067364	962.6866199	10.06660344
Inno1_111	EEMAC	81.12458511	569.0638854	495.7798834	9.757737376
Inno1_112	EEMAC	80.82144476	478.3915236	633.3880591	9.503783196
Inno1_119	EEMAC	80.24866802	508.3982045	734.6000515	10.07840122
Inno1_122	EEMAC	81.05137653	546.8850343	726.8501803	10.24551492
Inno1_142	EEMAC	81.11427911	480.3484811	943.9764744	9.503783196
Inno1_143	EEMAC	80.89465335	575.5870769	746.5844394	9.954039392
Inno1_144	EEMAC	80.87220752	556.0175024	578.3952088	10.02564321
Inno1_145	EEMAC	80.17545944	625.8156513	653.2109185	10.56617877
Inno1_146	EEMAC	79.29437046	517.5306726	886.8219244	10.43312167
Inno1_148	EEMAC	80.68791954	494.0471832	769.2138206	9.890794474
Inno1_149	EEMAC	79.43048162	504.4842896	842.0061814	10.21668884
Inno1_150	EEMAC	79.77407872	475.782247	870.2734786	10.325814
Inno1_151	EEMAC	80.76112813	530.5770555	535.3370019	10.00335852
Inno1_152	EEMAC	80.09966491	557.3221407	737.1407604	10.50816437
Inno1_153	EEMAC	80.96786193	514.921396	312.5090638	9.353697798
Inno1_154	EEMAC	81.09183328	569.0638854	819.7560857	10.02564321
Inno1_155	EEMAC	79.66041339	516.2260343	905.5320699	10.43312167
Inno1_156	EEMAC	80.67502759	582.7625875	604.3873336	10.10412479
Inno1_157	EEMAC	79.22374782	486.2193534	930.1210719	9.928315823
Inno1_158	EEMAC	79.22374782	501.875013	810.3761407	10.26600797
Inno1_159	EEMAC	79.77407872	487.5239917	833.7886948	10.21324996
Inno1_160	EEMAC	79.50369021	517.5306726	907.4916907	10.59190234
Inno1_161	EEMAC	80.24866802	548.1896726	699.9862823	10.07840122
Inno1_162	EEMAC	80.57937317	528.6200981	630.7836162	10.21324996
Inno1_164	EEMAC	81.4200054	572.9778003	639.1783094	9.965837173
Inno1_166	EEMAC	80.45540183	528.6200981	598.77429	10.17916749
Inno1_168	EEMAC	79.5872048	524.0538641	376.0349523	9.682694676
Inno1_170	EEMAC	79.72331597	535.7956087	550.1279117	9.954039392
Inno1_40	EEMAC	80.53891642	514.2690768	641.7190183	10.20799357
